STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2013,,19356,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2014,,20746,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2015,,20814,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2016,,21361,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2017,,22256,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2018,,21996,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2019,,21736,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2020,,20498,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2021,,21980,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2022,,22167,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2023,,20205,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),AT,Austria,2024,,20997,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2014,,1313,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2015,,1285,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2016,,1142,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2017,,1116,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2018,,1179,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2019,,1275,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2020,,1030,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2021,,1181,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2022,,1250,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2023,,1262,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BA,Bosnia and Herzegovina,2024,,1019,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2013,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2014,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2015,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2016,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2017,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2018,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2019,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2020,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2021,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2022,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2023,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2024,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2013,,3246,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2014,,3439,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2015,,3650,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2016,,3434,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2017,,3931,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2018,,3824,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2019,,3902,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2020,,4503,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2021,,4657,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2022,,5239,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2023,,4555,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2024,,4369,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2013,,11812,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2014,,12313,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2015,,12431,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2016,,12447,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2017,,11653,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2018,,11776,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2019,,11666,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2020,,11063,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2021,,12023,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2022,,12135,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2023,,11540,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2024,,11280,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2013,,13965,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2014,,14575,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2015,,15261,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2016,,15619,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2017,,15843,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2018,,16564,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2019,,16180,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2020,,15251,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2021,,16326,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2022,,16368,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2023,,15038,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2024,,14853,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2013,,110655,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2014,,112629,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2015,,114341,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2016,,135875,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2017,,126897,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2018,,127620,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2019,,128545,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2020,,109219,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2021,,123935,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2022,,128637,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2023,,129090,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2024,,126320,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2013,,2449,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2014,,2453,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2015,,2603,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2016,,2616,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2017,,2653,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2018,,2594,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2019,,2525,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2020,,2450,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2021,,1986,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2022,,2211,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2023,,1906,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DK,Denmark,2024,,1802,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2013,,4722,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2014,,3256,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2015,,3117,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2016,,2340,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2017,,2325,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2018,,2588,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2019,,2155,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2020,,1729,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2021,,2124,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2022,,1286,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2023,,771,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EE,Estonia,2024,,595,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2013,,237,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2014,,311,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2015,,294,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2016,,254,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2017,,358,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2018,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2019,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2020,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2021,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2022,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2023,,,,,,C,confidential
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),EL,Greece,2024,,239,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2013,,9338,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2014,,10385,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2015,,11028,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2016,,10550,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2017,,10549,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2018,,10650,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2019,,10710,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2020,,8920,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2021,,10299,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2022,,10566,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2023,,9972,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),ES,Spain,2024,,9349,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2013,,9470,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2014,,9597,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2015,,8468,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2016,,9456,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2017,,10362,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2018,,11175,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2019,,10271,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2020,,10137,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2021,,10750,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2022,,8844,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2023,,7869,,,,,
dataflow,ESTAT:TTR00006(1.0),Goods transport by rail,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2024,,8226,,,,,
